KERNEL_DATA_BLOCK_SIZE, KERNEL_GRID_SPLIT, KERNEL_MAX_DIM_UNROLL, KERNEL_PREFETCH_SIZE, KERNEL_STORE_DATA, KERNEL_TRANSFER_WHOLE_DATASET, KERNEL_USE_LOCAL_MEMORY, LOCAL_SIZE, OPTIMIZATION_FLAGS, VERBOSE, duration
4, 2, 2, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
1, 2, 2, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
4, 1, 2, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
4, 2, 1, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
4, 2, 2, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
4, 2, 2, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
4, 2, 2, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
4, 2, 2, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
4, 2, 2, 16, array, true, false, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
4, 2, 2, 16, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
